Date,MarketCap,,,
1995-04-13,4632000000.00,,,
1995-05-16,5298000000.00,,,
1995-06-16,5313000000.00,,,
1995-07-19,5547000000.00,,,
1995-08-18,5471000000.00,,,
1995-09-20,4465000000.00,,,
1995-10-20,4318000000.00,,,
1995-11-21,4748000000.00,,,
1995-12-22,3964000000.00,,,
1996-01-25,3725000000.00,,,
1996-02-27,3525000000.00,,,
1996-03-28,2978000000.00,,,
1996-04-30,3015000000.00,,,
1996-05-31,3232000000.00,,,
1996-07-02,2599000000.00,,,
1996-08-02,2677000000.00,,,
1996-09-04,2987000000.00,,,
1996-10-04,2840000000.00,,,
1996-11-05,3175000000.00,,,
1996-12-06,3130000000.00,,,
1997-01-09,2212000000.00,,,
1997-02-10,1947000000.00,,,
1997-03-13,2040000000.00,,,
1997-04-15,2331000000.00,,,
1997-05-15,2244000000.00,,,
1997-06-17,2066000000.00,,,
1997-07-18,2195000000.00,,,
1997-08-19,3093000000.00,,,
1997-09-19,2776000000.00,,,
1997-10-21,2439000000.00,,,
1997-11-20,2367000000.00,,,
1997-12-23,1656000000.00,,,
1998-01-27,2449000000.00,,,
1998-02-27,3025000000.00,,,
1998-03-31,3657000000.00,,,
1998-05-01,3724000000.00,,,
1998-06-03,3500000000.00,,,
1998-07-06,4044000000.00,,,
1998-08-05,4793000000.00,,,
1998-09-04,4676000000.00,,,
1998-10-07,4318000000.00,,,
1998-11-06,5146000000.00,,,
1998-12-09,4326000000.00,,,
1999-01-12,6243000000.00,,,
1999-02-12,5101000000.00,,,
1999-03-17,4611000000.00,,,
1999-04-19,4629000000.00,,,
1999-05-19,6175000000.00,,,
1999-06-21,6355000000.00,,,
1999-07-22,8387000000.00,,,
1999-08-23,9728000000.00,,,
1999-09-23,10140000000.00,,,
1999-10-25,11980000000.00,,,
1999-11-24,15230000000.00,,,
1999-12-28,15820000000.00,,,
2000-01-28,16430000000.00,,,
2000-03-01,20850000000.00,,,
2000-03-31,22090000000.00,,,
2000-05-03,18720000000.00,,,
2000-06-05,14840000000.00,,,
2000-07-06,16830000000.00,,,
2000-08-07,15580000000.00,,,
2000-09-07,20150000000.00,,,
2000-10-09,7301000000.00,,,
2000-11-08,6735000000.00,,,
