Date,In US dollars,,,
2001-03-27,131900000000.00,,,
2001-04-20,139300000000.00,,,
2001-05-15,137000000000.00,,,
2001-06-08,150000000000.00,,,
2001-07-03,140500000000.00,,,
2001-07-27,139500000000.00,,,
2001-08-21,117300000000.00,,,
2001-09-20,94460000000.00,,,
2001-10-15,118900000000.00,,,
2001-11-07,138700000000.00,,,
2001-12-03,145700000000.00,,,
2001-12-27,135600000000.00,,,
2002-01-23,138800000000.00,,,
2002-02-15,125400000000.00,,,
2002-03-13,119800000000.00,,,
2002-04-08,118500000000.00,,,
2002-05-01,100300000000.00,,,
2002-05-24,121200000000.00,,,
2002-06-19,106000000000.00,,,
2002-07-15,105700000000.00,,,
2002-08-07,94870000000.00,,,
2002-08-30,100700000000.00,,,
2002-09-25,87140000000.00,,,
2002-10-18,76720000000.00,,,
2002-11-12,93090000000.00,,,
2002-12-06,102500000000.00,,,
2003-01-02,98550000000.00,,,
2003-01-28,102700000000.00,,,
2003-02-21,104300000000.00,,,
2003-03-18,101000000000.00,,,
2003-04-10,92740000000.00,,,
2003-05-06,111600000000.00,,,
2003-05-30,115200000000.00,,,
2003-06-24,117600000000.00,,,
2003-07-18,125600000000.00,,,
2003-08-12,124800000000.00,,,
2003-09-05,142900000000.00,,,
2003-09-30,136200000000.00,,,
2003-10-23,140200000000.00,,,
2003-11-17,152200000000.00,,,
2003-12-11,165200000000.00,,,
2004-01-07,176400000000.00,,,
2004-02-02,180300000000.00,,,
2004-02-26,160500000000.00,,,
2004-03-22,153600000000.00,,,
2004-04-15,156800000000.00,,,
2004-05-10,146800000000.00,,,
2004-06-03,151100000000.00,,,
2004-06-29,160300000000.00,,,
2004-07-23,141500000000.00,,,
2004-08-17,125800000000.00,,,
2004-09-10,136100000000.00,,,
2004-10-05,127000000000.00,,,
2004-10-28,126000000000.00,,,
2004-11-22,126100000000.00,,,
2004-12-16,129500000000.00,,,
2005-01-11,122700000000.00,,,
2005-02-04,116100000000.00,,,
2005-03-02,114700000000.00,,,
2005-03-28,115600000000.00,,,
2005-04-20,111100000000.00,,,
2005-05-13,121100000000.00,,,
2005-06-08,124000000000.00,,,
2005-07-01,121400000000.00,,,
2005-07-27,122600000000.00,,,
2005-08-19,112800000000.00,,,
2005-09-14,111900000000.00,,,
2005-10-07,110600000000.00,,,
2005-11-01,107600000000.00,,,
2005-11-25,107800000000.00,,,
2005-12-20,106300000000.00,,,
2006-01-17,114700000000.00,,,
2006-02-09,120300000000.00,,,
2006-03-07,128400000000.00,,,
2006-03-30,135100000000.00,,,
2006-04-25,126500000000.00,,,
2006-05-18,125100000000.00,,,
2006-06-13,119800000000.00,,,
2006-07-07,119800000000.00,,,
2006-08-01,105900000000.00,,,
2006-08-24,127800000000.00,,,
2006-09-19,137900000000.00,,,
2006-10-12,148100000000.00,,,
2006-11-06,149600000000.00,,,
2006-11-30,163400000000.00,,,
2006-12-26,165100000000.00,,,
2007-01-23,158100000000.00,,,
2007-02-15,166500000000.00,,,
2007-03-13,154000000000.00,,,
2007-04-05,157400000000.00,,,
2007-05-01,162600000000.00,,,
2007-05-24,153800000000.00,,,
2007-06-19,165300000000.00,,,
2007-07-13,181000000000.00,,,
2007-08-07,181100000000.00,,,
2007-08-30,191700000000.00,,,
2007-09-25,197900000000.00,,,
2007-10-18,199300000000.00,,,
2007-11-12,176600000000.00,,,
2007-12-06,168600000000.00,,,
2008-01-02,161000000000.00,,,
2008-01-28,146200000000.00,,,
2008-02-21,138200000000.00,,,
2008-03-17,144800000000.00,,,
2008-04-10,143300000000.00,,,
2008-05-05,155400000000.00,,,
2008-05-29,155000000000.00,,,
2008-06-23,145100000000.00,,,
2008-07-17,127200000000.00,,,
2008-08-11,145100000000.00,,,
2008-09-04,131300000000.00,,,
2008-09-29,128400000000.00,,,
2008-10-22,102600000000.00,,,
2008-11-14,97310000000.00,,,
2008-12-10,101500000000.00,,,
2009-01-06,104200000000.00,,,
2009-01-30,87650000000.00,,,
2009-02-25,86210000000.00,,,
2009-03-20,92870000000.00,,,
2009-04-15,102500000000.00,,,
2009-05-08,109300000000.00,,,
2009-06-03,111700000000.00,,,
2009-06-26,109100000000.00,,,
2009-07-22,123700000000.00,,,
2009-08-14,123300000000.00,,,
2009-09-09,128700000000.00,,,
2009-10-02,131300000000.00,,,
2009-10-27,135400000000.00,,,
2009-11-19,136200000000.00,,,
2009-12-15,135100000000.00,,,
2010-01-11,141500000000.00,,,
2010-02-04,132800000000.00,,,
2010-03-02,140900000000.00,,,
2010-03-25,151300000000.00,,,
2010-04-20,155600000000.00,,,
2010-05-13,146100000000.00,,,
2010-06-08,131100000000.00,,,
2010-07-01,121400000000.00,,,
2010-07-27,133100000000.00,,,
2010-08-19,125700000000.00,,,
2010-09-14,121300000000.00,,,
2010-10-07,125100000000.00,,,
2010-11-01,127800000000.00,,,
2010-11-24,107900000000.00,,,
2010-12-20,108700000000.00,,,
2011-01-13,116800000000.00,,,
2011-02-08,121700000000.00,,,
2011-03-04,101700000000.00,,,
2011-03-29,96410000000.00,,,
2011-04-21,93640000000.00,,,
2011-05-17,91540000000.00,,,
2011-06-10,83160000000.00,,,
2011-07-06,85580000000.00,,,
2011-07-29,87840000000.00,,,
2011-08-23,83920000000.00,,,
2011-09-16,89460000000.00,,,
2011-10-11,91150000000.00,,,
2011-11-03,97640000000.00,,,
2011-11-29,95050000000.00,,,
2011-12-22,97460000000.00,,,
2012-01-19,106400000000.00,,,
2012-02-13,107700000000.00,,,
2012-03-08,106000000000.00,,,
2012-04-02,114100000000.00,,,
2012-04-26,105600000000.00,,,
2012-05-21,89300000000.00,,,
2012-06-14,90640000000.00,,,
2012-07-10,87910000000.00,,,
2012-08-02,83390000000.00,,,
2012-08-27,102600000000.00,,,
2012-09-20,101300000000.00,,,
2012-10-15,98360000000.00,,,
2012-11-07,91400000000.00,,,
2012-12-03,101000000000.00,,,
2012-12-27,104300000000.00,,,
2013-01-23,109500000000.00,,,
2013-02-15,111900000000.00,,,
2013-03-13,115000000000.00,,,
2013-04-08,109700000000.00,,,
2013-05-01,108300000000.00,,,
2013-05-24,125800000000.00,,,
2013-06-19,131900000000.00,,,
2013-07-15,138600000000.00,,,
2013-08-07,140800000000.00,,,
2013-08-30,125600000000.00,,,
2013-09-25,131500000000.00,,,
2013-10-18,123600000000.00,,,
2013-11-12,127000000000.00,,,
2013-12-06,113800000000.00,,,
2014-01-02,117600000000.00,,,
2014-01-28,112900000000.00,,,
2014-02-21,114000000000.00,,,
2014-03-18,111400000000.00,,,
2014-04-10,116700000000.00,,,
2014-05-06,116200000000.00,,,
2014-05-30,126100000000.00,,,
2014-06-24,125700000000.00,,,
2014-07-18,132700000000.00,,,
2014-08-12,128400000000.00,,,
2014-09-05,127500000000.00,,,
2014-09-30,128900000000.00,,,
2014-10-23,120700000000.00,,,
2014-11-17,135300000000.00,,,
2014-12-11,138000000000.00,,,
2015-01-07,139600000000.00,,,
2015-02-02,137000000000.00,,,
2015-02-26,152700000000.00,,,
2015-03-23,145000000000.00,,,
2015-04-16,146000000000.00,,,
2015-05-11,148800000000.00,,,
2015-06-04,145500000000.00,,,
2015-06-29,140100000000.00,,,
2015-07-23,142500000000.00,,,
2015-08-17,146600000000.00,,,
2015-09-10,132900000000.00,,,
2015-10-05,136600000000.00,,,
2015-10-28,149200000000.00,,,
2015-11-20,139900000000.00,,,
2015-12-16,138200000000.00,,,
2016-01-12,128700000000.00,,,
2016-02-05,115600000000.00,,,
2016-03-02,135400000000.00,,,
2016-03-28,140400000000.00,,,
2016-04-20,143100000000.00,,,
2016-05-13,133600000000.00,,,
2016-06-08,146600000000.00,,,
2016-07-01,144900000000.00,,,
2016-07-27,154700000000.00,,,
2016-08-19,153500000000.00,,,
2016-09-14,155400000000.00,,,
2016-10-07,157800000000.00,,,
2016-11-01,153100000000.00,,,
2016-11-25,151000000000.00,,,
2016-12-20,153400000000.00,,,
2017-01-17,150500000000.00,,,
2017-02-09,157700000000.00,,,
2017-03-07,171300000000.00,,,
2017-03-30,169000000000.00,,,
2017-04-25,167400000000.00,,,
2017-05-18,156900000000.00,,,
2017-06-13,158500000000.00,,,
2017-07-07,154500000000.00,,,
2017-08-01,157700000000.00,,,
2017-08-24,155700000000.00,,,
2017-09-19,160900000000.00,,,
2017-10-12,164700000000.00,,,
2017-11-06,170400000000.00,,,
2017-11-30,184400000000.00,,,
2017-12-26,190200000000.00,,,
2018-01-22,206000000000.00,,,
2018-02-14,209700000000.00,,,
2018-03-12,219400000000.00,,,
2018-04-05,201500000000.00,,,
2018-04-30,213400000000.00,,,
2018-05-23,210400000000.00,,,
2018-06-18,213000000000.00,,,
2018-07-12,209900000000.00,,,
2018-08-06,208600000000.00,,,
2018-08-29,228700000000.00,,,
2018-09-24,233400000000.00,,,
2018-10-17,221300000000.00,,,
2018-11-09,227000000000.00,,,
2018-12-06,233100000000.00,,,
2019-01-02,206900000000.00,,,
2019-01-28,202400000000.00,,,
2019-02-21,217500000000.00,,,
2019-03-19,234700000000.00,,,
2019-04-11,244800000000.00,,,
2019-05-07,230500000000.00,,,
2019-05-31,222700000000.00,,,
2019-06-25,240100000000.00,,,
2019-07-19,245500000000.00,,,
2019-08-13,225700000000.00,,,
2019-09-06,209100000000.00,,,
2019-10-01,204400000000.00,,,
2019-10-24,198700000000.00,,,
,,,,
,,,,
,,,,
