Date,In US dollars,,,
2010-06-30,141800000000.00,,,
2010-07-14,156500000000.00,,,
2010-07-27,157000000000.00,,,
2010-08-09,161100000000.00,,,
2010-08-20,147200000000.00,,,
2010-09-02,147600000000.00,,,
2010-09-16,153300000000.00,,,
2010-09-29,168200000000.00,,,
2010-10-12,172800000000.00,,,
2010-10-25,197100000000.00,,,
2010-11-05,199900000000.00,,,
2010-11-18,190800000000.00,,,
2010-12-02,182900000000.00,,,
2010-12-15,188800000000.00,,,
2010-12-29,192200000000.00,,,
2011-01-11,197900000000.00,,,
2011-01-25,199200000000.00,,,
2011-02-07,197500000000.00,,,
2011-02-18,202600000000.00,,,
2011-03-04,193100000000.00,,,
2011-03-17,180500000000.00,,,
2011-03-30,187100000000.00,,,
2011-04-12,183800000000.00,,,
2011-04-26,171600000000.00,,,
2011-05-09,173300000000.00,,,
2011-05-20,168900000000.00,,,
2011-06-03,168600000000.00,,,
2011-06-16,161200000000.00,,,
2011-06-29,160300000000.00,,,
2011-07-13,173700000000.00,,,
2011-07-26,201000000000.00,,,
2011-08-08,176300000000.00,,,
2011-08-19,158500000000.00,,,
2011-09-01,171900000000.00,,,
2011-09-15,175200000000.00,,,
2011-09-28,170800000000.00,,,
2011-10-11,175900000000.00,,,
2011-10-24,193200000000.00,,,
2011-11-04,193100000000.00,,,
2011-11-17,194600000000.00,,,
2011-12-01,198800000000.00,,,
2011-12-14,200200000000.00,,,
2011-12-28,207200000000.00,,,
2012-01-11,203400000000.00,,,
2012-01-25,185200000000.00,,,
2012-02-07,197300000000.00,,,
2012-02-21,199600000000.00,,,
2012-03-05,199700000000.00,,,
2012-03-16,203200000000.00,,,
2012-03-29,210800000000.00,,,
2012-04-12,212200000000.00,,,
2012-04-25,198800000000.00,,,
2012-05-08,199800000000.00,,,
2012-05-21,200200000000.00,,,
2012-06-04,188600000000.00,,,
2012-06-15,184000000000.00,,,
2012-06-28,184000000000.00,,,
2012-07-12,186500000000.00,,,
2012-07-25,198800000000.00,,,
2012-08-07,209500000000.00,,,
2012-08-20,220900000000.00,,,
2012-08-31,224100000000.00,,,
2012-09-14,232100000000.00,,,
2012-09-27,247400000000.00,,,
2012-10-10,244600000000.00,,,
2012-10-23,223600000000.00,,,
2012-11-05,224400000000.00,,,
2012-11-16,212700000000.00,,,
2012-11-30,229500000000.00,,,
2012-12-13,230900000000.00,,,
2012-12-27,232100000000.00,,,
2013-01-10,244700000000.00,,,
2013-01-24,248500000000.00,,,
2013-02-06,253900000000.00,,,
2013-02-20,261300000000.00,,,
2013-03-05,276500000000.00,,,
2013-03-18,266300000000.00,,,
2013-04-01,265200000000.00,,,
2013-04-12,262100000000.00,,,
2013-04-25,268400000000.00,,,
2013-05-08,289800000000.00,,,
2013-05-21,300900000000.00,,,
2013-06-04,285000000000.00,,,
2013-06-17,294000000000.00,,,
2013-06-28,292100000000.00,,,
2013-07-12,307500000000.00,,,
2013-07-25,295600000000.00,,,
2013-08-07,296600000000.00,,,
2013-08-20,288200000000.00,,,
2013-09-03,286500000000.00,,,
2013-09-16,295700000000.00,,,
2013-09-27,291900000000.00,,,
2013-10-10,290100000000.00,,,
2013-10-23,344600000000.00,,,
2013-11-05,341300000000.00,,,
2013-11-18,344600000000.00,,,
2013-12-02,352300000000.00,,,
2013-12-13,354400000000.00,,,
2013-12-27,373600000000.00,,,
2014-01-10,379600000000.00,,,
2014-01-24,377400000000.00,,,
2014-02-06,389800000000.00,,,
2014-02-20,404600000000.00,,,
2014-03-05,409400000000.00,,,
2014-03-18,407800000000.00,,,
2014-03-31,376600000000.00,,,
2014-04-11,362400000000.00,,,
2014-04-25,353300000000.00,,,
2014-05-08,351400000000.00,,,
2014-05-21,371300000000.00,,,
2014-06-04,374000000000.00,,,
2014-06-17,371900000000.00,,,
2014-06-30,395700000000.00,,,
2014-07-14,402200000000.00,,,
2014-07-25,405100000000.00,,,
2014-08-07,387300000000.00,,,
2014-08-20,403300000000.00,,,
2014-09-03,399300000000.00,,,
2014-09-16,398800000000.00,,,
2014-09-29,398100000000.00,,,
2014-10-10,377100000000.00,,,
2014-10-23,376100000000.00,,,
2014-11-05,377700000000.00,,,
2014-11-18,369900000000.00,,,
2014-12-02,365900000000.00,,,
2014-12-15,350400000000.00,,,
2014-12-29,365000000000.00,,,
2015-01-12,338600000000.00,,,
2015-01-26,365500000000.00,,,
2015-02-06,363900000000.00,,,
2015-02-20,369300000000.00,,,
2015-03-05,396300000000.00,,,
2015-03-18,385900000000.00,,,
2015-03-31,379000000000.00,,,
2015-04-14,368800000000.00,,,
2015-04-27,386800000000.00,,,
2015-05-08,375200000000.00,,,
2015-05-21,380500000000.00,,,
2015-06-04,377000000000.00,,,
2015-06-17,373500000000.00,,,
2015-06-30,370200000000.00,,,
2015-07-14,400500000000.00,,,
2015-07-27,451300000000.00,,,
2015-08-07,455500000000.00,,,
2015-08-20,465800000000.00,,,
2015-09-02,442100000000.00,,,
2015-09-16,456200000000.00,,,
2015-09-29,426800000000.00,,,
2015-10-12,465200000000.00,,,
2015-10-23,494700000000.00,,,
2015-11-05,523100000000.00,,,
2015-11-18,522700000000.00,,,
2015-12-02,534900000000.00,,,
2015-12-15,522700000000.00,,,
2015-12-29,546000000000.00,,,
2016-01-12,512300000000.00,,,
2016-01-26,504400000000.00,,,
2016-02-08,484700000000.00,,,
2016-02-22,501800000000.00,,,
2016-03-04,502600000000.00,,,
2016-03-17,522100000000.00,,,
2016-03-31,524000000000.00,,,
2016-04-13,530100000000.00,,,
2016-04-26,498000000000.00,,,
2016-05-09,500600000000.00,,,
2016-05-20,495500000000.00,,,
2016-06-03,505200000000.00,,,
2016-06-16,497200000000.00,,,
2016-06-29,477300000000.00,,,
2016-07-13,501000000000.00,,,
2016-07-26,520300000000.00,,,
2016-08-08,553400000000.00,,,
2016-08-19,549600000000.00,,,
2016-09-01,543900000000.00,,,
2016-09-15,550700000000.00,,,
2016-09-28,556700000000.00,,,
2016-10-11,557900000000.00,,,
2016-10-25,571000000000.00,,,
2016-11-07,552800000000.00,,,
2016-11-18,534800000000.00,,,
2016-12-02,526900000000.00,,,
2016-12-15,562200000000.00,,,
2016-12-29,553400000000.00,,,
2017-01-12,573400000000.00,,,
2017-01-26,592500000000.00,,,
2017-02-08,573800000000.00,,,
2017-02-22,588600000000.00,,,
2017-03-07,588500000000.00,,,
2017-03-20,600100000000.00,,,
2017-03-31,586800000000.00,,,
2017-04-13,581500000000.00,,,
2017-04-27,616700000000.00,,,
2017-05-10,660500000000.00,,,
2017-05-23,671400000000.00,,,
2017-06-06,689500000000.00,,,
2017-06-19,674600000000.00,,,
2017-06-30,644200000000.00,,,
2017-07-14,676900000000.00,,,
2017-07-27,660000000000.00,,,
2017-08-09,651400000000.00,,,
2017-08-22,651600000000.00,,,
2017-09-05,652300000000.00,,,
2017-09-18,644200000000.00,,,
2017-09-29,674700000000.00,,,
2017-10-12,698700000000.00,,,
2017-10-25,688900000000.00,,,
2017-11-07,731200000000.00,,,
2017-11-20,718900000000.00,,,
2017-12-04,703000000000.00,,,
2017-12-15,744800000000.00,,,
2017-12-29,731900000000.00,,,
2018-01-12,785600000000.00,,,
2018-01-26,825100000000.00,,,
2018-02-08,700700000000.00,,,
2018-02-22,771700000000.00,,,
2018-03-07,775300000000.00,,,
2018-03-20,761900000000.00,,,
2018-04-03,707900000000.00,,,
2018-04-16,727000000000.00,,,
2018-04-27,716400000000.00,,,
2018-05-10,767800000000.00,,,
2018-05-23,754300000000.00,,,
2018-06-06,796600000000.00,,,
2018-06-19,818700000000.00,,,
2018-07-02,793300000000.00,,,
2018-07-16,831000000000.00,,,
2018-07-27,870200000000.00,,,
2018-08-09,878200000000.00,,,
2018-08-22,848600000000.00,,,
2018-09-05,832800000000.00,,,
2018-09-18,810600000000.00,,,
