Date,MarketCap,,,
1999-03-31,3462000000.00,,,
1999-04-28,3950000000.00,,,
1999-05-25,4660000000.00,,,
1999-06-22,5252000000.00,,,
1999-07-20,5419000000.00,,,
1999-08-16,5578000000.00,,,
1999-09-13,6213000000.00,,,
1999-10-08,6952000000.00,,,
1999-11-04,8355000000.00,,,
1999-12-02,8135000000.00,,,
1999-12-30,7824000000.00,,,
2000-01-27,7491000000.00,,,
2000-02-24,12710000000.00,,,
2000-03-22,11620000000.00,,,
2000-04-18,14010000000.00,,,
2000-05-16,14830000000.00,,,
2000-06-13,15290000000.00,,,
2000-07-11,16620000000.00,,,
2000-08-07,14670000000.00,,,
2000-09-01,16260000000.00,,,
2000-09-29,18660000000.00,,,
2000-10-26,17410000000.00,,,
2000-11-22,17380000000.00,,,
2000-12-20,13790000000.00,,,
2001-01-19,14040000000.00,,,
2001-02-15,9380000000.00,,,
2001-03-15,5979000000.00,,,
2001-04-11,9740000000.00,,,
2001-05-09,9929000000.00,,,
2001-06-06,9762000000.00,,,
2001-07-03,10820000000.00,,,
2001-07-31,8955000000.00,,,
2001-08-27,8570000000.00,,,
2001-09-28,5688000000.00,,,
2001-10-25,7834000000.00,,,
2001-11-21,7635000000.00,,,
2001-12-19,7699000000.00,,,
2002-01-17,8485000000.00,,,
2002-02-14,8763000000.00,,,
2002-03-14,8708000000.00,,,
2002-04-11,8655000000.00,,,
2002-05-08,9855000000.00,,,
2002-06-05,8729000000.00,,,
2002-07-02,6339000000.00,,,
2002-07-30,5984000000.00,,,
2002-08-26,5012000000.00,,,
2002-09-23,4536000000.00,,,
2002-10-18,5626000000.00,,,
2002-11-14,6630000000.00,,,
2002-12-12,6008000000.00,,,
2003-01-10,6646000000.00,,,
2003-02-07,6040000000.00,,,
2003-03-07,6265000000.00,,,
2003-04-03,7660000000.00,,,
2003-05-01,8512000000.00,,,
2003-05-29,8161000000.00,,,
2003-06-25,7255000000.00,,,
2003-07-23,7788000000.00,,,
2003-08-19,8605000000.00,,,
2003-09-16,9288000000.00,,,
2003-10-13,10010000000.00,,,
2003-11-07,10540000000.00,,,
2003-12-05,9103000000.00,,,
2004-01-05,9314000000.00,,,
2004-02-02,9019000000.00,,,
2004-03-01,8946000000.00,,,
2004-03-26,9428000000.00,,,
2004-04-23,10430000000.00,,,
2004-05-20,10610000000.00,,,
2004-06-18,10200000000.00,,,
2004-07-16,10360000000.00,,,
2004-08-12,10280000000.00,,,
2004-09-09,11680000000.00,,,
2004-10-06,12330000000.00,,,
2004-11-02,13610000000.00,,,
2004-11-30,14450000000.00,,,
2004-12-28,15200000000.00,,,
2005-01-25,13570000000.00,,,
2005-02-22,15020000000.00,,,
2005-03-21,16310000000.00,,,
2005-04-18,13390000000.00,,,
2005-05-13,14210000000.00,,,
2005-06-10,15300000000.00,,,
2005-07-08,13730000000.00,,,
2005-08-04,13290000000.00,,,
2005-08-31,13360000000.00,,,
2005-09-28,14340000000.00,,,
2005-10-25,15810000000.00,,,
2005-11-21,16470000000.00,,,
2005-12-19,22740000000.00,,,
2006-01-18,23500000000.00,,,
2006-02-14,23010000000.00,,,
2006-03-14,22390000000.00,,,
2006-04-10,22450000000.00,,,
2006-05-08,20170000000.00,,,
2006-06-05,17070000000.00,,,
2006-06-30,17580000000.00,,,
2006-07-28,16000000000.00,,,
2006-08-24,18900000000.00,,,
2006-09-21,21820000000.00,,,
2006-10-18,22680000000.00,,,
2006-11-14,23630000000.00,,,
2006-12-12,23470000000.00,,,
2007-01-11,23470000000.00,,,
2007-02-08,22390000000.00,,,
2007-03-08,22980000000.00,,,
2007-04-04,25110000000.00,,,
2007-05-02,24410000000.00,,,
2007-05-30,25410000000.00,,,
2007-06-26,23440000000.00,,,
2007-07-24,24580000000.00,,,
2007-08-20,23970000000.00,,,
2007-09-17,24710000000.00,,,
2007-10-12,26460000000.00,,,
2007-11-08,25840000000.00,,,
2007-12-06,25450000000.00,,,
2008-01-04,22960000000.00,,,
2008-02-01,19620000000.00,,,
2008-02-29,17900000000.00,,,
2008-03-28,18790000000.00,,,
2008-04-24,19910000000.00,,,
2008-05-21,21780000000.00,,,
2008-06-18,21710000000.00,,,
